layer,eff_rank_img,eff_rank_no,k90_img,k90_no
0,0.0,0.0,1,1
1,5.933742292403862,5.91208679187448,22,27
2,6.389694332513325,6.106443726308188,31,33
3,9.035231046345903,8.85365623122673,52,55
4,10.163175918985818,9.209409213279034,70,68
5,11.17357220348987,10.211930240574084,88,83
6,11.31222266069982,10.195659127559033,90,81
7,11.568953977865384,9.804981110906512,102,89
8,14.562330532533332,13.136116846121482,129,117
9,16.34513509016249,14.975740765806743,150,136
10,16.891516462570323,14.62173621662226,163,144
11,18.88952841859326,15.745855520086693,190,165
12,20.201602512885973,16.84766218747871,224,197
13,18.047950077068077,16.42974590504252,236,204
14,18.179891970426752,16.544934281382254,264,220
15,16.45492401436117,15.538189599644152,223,181
16,17.005158760838345,17.69075131807175,256,214
17,18.310162721225556,19.104538988935325,296,249
18,22.37847674313623,20.879101442163446,345,285
19,23.957620295952704,22.247601423413737,386,316
20,25.200815628164314,22.404946698088466,442,352
21,27.27469668147181,23.227454376381825,486,375
22,28.981999961110787,24.011515215006273,477,367
23,29.968568458975902,23.679112909428195,468,357
24,29.892693579280017,21.468070491583713,460,342
25,28.979852820040193,20.272270198355233,442,331
26,29.21377743386876,18.908233196192118,410,301
27,29.405962383084738,16.802070961821265,362,259
28,28.307689764979557,15.15992284611992,326,228
29,28.444049266326374,14.702564526790749,314,218
30,29.062467511102522,14.910379247226029,315,220
31,29.662494862551426,15.867279992265049,325,229
32,28.570227890080446,16.78210583406362,325,234
33,28.99171508804632,17.188386275909348,341,246
34,30.316048137182513,17.17628937099635,346,248
35,29.146848883637567,17.201094547674412,351,253
36,29.3358326971447,17.34895792288224,357,257
37,29.54806078063391,17.912288414444276,360,262
38,29.091002289394606,17.58609397504025,364,263
39,29.58283460659461,17.718086115244148,363,261
40,29.68818874128656,17.675769667484552,356,256
